fluid reward multiplier,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
0 run #,1 left reward,2 right reward,3 stim left image,4 stim left sound,5 stim right image,6 stim right sound,7 itd (sec),8 decision (sec),9 stim  (sec),10 points (sec),5-Nov,4-Dec,13 -2,14 -1,15 0,16 1,17 2,18 3,19 4,20 startPoint,21 Left is aversive
57,2,0,images/PI/8420_Tubing.gif,sounds/SimplyTheBest/river.mp3,images/PI/8420_Tubing.gif,sounds/SimplyTheBest/river.mp3,1,4,6,2,L,R,L,L,L,R,R,L,R,-2,3
58,0,4,images/PI/2030_Woman.gif,sounds/Freesound/FemaleLaughter1.mp3,images/NI/3061_Mutilation.gif,sounds/IADSNA/276_FemScream2.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,-2,0
59,0,6,images/PI/8340_Plane.gif,sounds/Freesound/Propeller.mp3,images/NI/9050_PlaneCrash.gif,sounds/IADSNA/501_PlaneCrash.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,-4,0
60,2,0,images/NI/2141_GrievingFem.gif,sounds/AudioMicro/WomanCrying.mp3,images/PI/2620_Woman.gif,sounds/IADSPA/816_Guitar.mp3,1,4,6,2,L,L,L,R,L,L,R,R,R,0,1
61,0,0,images/PI/2150_Baby.gif,sounds/IADSPA/111_MusicBox.mp3,images/NI/9410_Soldier.gif,sounds/Freesound/panic&pain.mp3,1,4,6,2,L,R,R,R,R,L,L,L,R,0,0
62,0,2,images/PI/8116_Football.gif,sounds/IADSPA/362_Football.mp3,images/PI/8116_Football.gif,sounds/IADSPA/362_Football.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,-4,3
63,6,0,images/NI/9911_CarAccident.gif,sounds/IADSNA/424_CarWreck.mp3,images/PI/7140_Bus.gif,sounds/IADSPA/820_FunkMusic.mp3,1,4,6,2,R,L,L,L,R,R,R,R,L,-4,1
64,0,4,images/PI/8080_Sailing.gif,sounds/SimplyTheBest/oceanwaves.mp3,images/NI/9420_Soldier.gif,sounds/IADSNA/706_War.mp3,1,4,6,2,L,L,L,R,R,L,R,R,R,2,0
65,0,2,images/PI/8461_HappyTeens.gif,sounds/IADSPA/226_Laughing.mp3,images/NI/9433_DeadMan.gif,sounds/Freesound/Fall_Screaming.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,-2,0
66,4,0,images/NI/9520_Kids.gif,sounds/IADSNA/712_Buzzer.mp3,images/PI/2216_Children.gif,sounds/IADSPA/112_KidsinPark.mp3,1,4,6,2,L,L,R,L,R,R,L,R,R,-3,1
67,2,0,images/NI/3530_Attack.gif,sounds/IADSNA/286_Victim.mp3,images/PI/2370_ThreeMen.gif,sounds/IADSPA/221_MaleLaugh.mp3,1,4,6,2,L,L,L,R,L,L,R,R,R,2,1
68,0,6,images/PI/2389_Teens.gif,sounds/IADSPA/815_RocknRoll.mp3,images/NI/9910_AutoAccident.gif,sounds/IADSNA/424_Carwreck.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,0,0
69,0,2,images/PI/2487_Musician.gif,sounds/Freesound/nylon2.mp3,images/PI/2487_Musician.gif,sounds/Freesound/nylon2.mp3,1,4,6,2,L,L,R,R,L,L,L,R,R,3,3
70,0,0,images/NI/3064_Mutilation.gif,sounds/IADSNA/276_FemScream2.mp3,images/PI/2560_Picnic.gif,sounds/IADSPA/230_Giggling.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,2,1
71,6,0,images/NI/3230_DyingMan.gif,sounds/Freesound/EKG.mp3,images/PI/2510_ElderlyWoman.gif,sounds/IADSPA/151_Cardinal.mp3,1,4,6,2,L,R,R,R,L,L,L,L,R,3,1
72,0,4,images/PI/2020_Adult.gif,sounds/Freesound/Manlaughing_hard.mp3,images/NI/3060_Mutilation.gif,sounds/Freesound/allinpain.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,0,0
