Time,Event,Image,Sound
675639,response_L,-1,
675799,response_L,-2,
676103,response_L,-3,
676279,response_L,-4,
676678,response_Lock,-4,
677865,program_stimulus_image,images/PI/2340_Family.gif,
677898,program_stimulus_sound,,sounds/Freesound/Manlaughing_hard.mp3
683900,program_points_screen,,
683944,program_stimulus_sound,,sounds/reward/smallReward.mp3
685947,program_fixation_screen,,
686947,trial,53,
686947,program_decision_screen,,
688167,response_Lock,-4,
691000,program_stimulus_image,images/NI/3120_DeadBody.gif,
691047,program_stimulus_sound,,sounds/Freesound/KnifeSharpen.mp3
697049,program_points_screen,,
697094,program_stimulus_sound,,sounds/reward/bigReward.mp3
699097,program_fixation_screen,,
700098,trial,54,
700098,program_decision_screen,,
700903,response_R,4,
701239,response_Lock,4,
704174,program_stimulus_image,images/NI/3301_InjuredChild.gif,
704231,program_stimulus_sound,,sounds/AudioMicro/WomanCrying.mp3
710231,program_points_screen,,
710278,program_stimulus_sound,,sounds/reward/bigReward.mp3
712279,program_fixation_screen,,
713279,trial,55,
713279,program_decision_screen,,
714631,response_L,3,
714823,response_L,2,
715014,response_L,1,
715207,response_L,0,
715383,response_L,-1,
715575,response_L,-2,
715766,response_L,-3,
715959,response_L,-4,
716342,response_Lock,-4,
717340,program_stimulus_image,images/PI/8510_SportCar.gif,
717384,program_stimulus_sound,,sounds/Freesound/ferrari.mp3
723385,program_points_screen,,
723430,program_stimulus_sound,,sounds/reward/bigReward.mp3
725431,program_fixation_screen,,
726431,trial,56,
726431,program_decision_screen,,
727783,response_R,-2,
727991,response_R,-1,
728295,response_R,0,
728455,response_R,1,
728598,response_R,2,
728758,response_R,3,
729094,response_Lock,3,
730493,program_stimulus_image,images/PI/8380_Athletes.gif,
730538,program_stimulus_sound,,sounds/IADSPA/351_Applause.mp3
736541,program_points_screen,,
736586,program_stimulus_sound,,sounds/reward/smallReward.mp3
738586,program_fixation_screen,,
739587,trial,57,
739587,program_decision_screen,,
740982,response_L,-3,
741127,response_L,-4,
741671,response_Lock,-4,
743648,program_stimulus_image,images/PI/8420_Tubing.gif,
743775,program_stimulus_sound,,sounds/SimplyTheBest/river.mp3
749776,program_points_screen,,
749821,program_stimulus_sound,,sounds/reward/bigReward.mp3
751822,program_fixation_screen,,
752822,trial,58,
752822,program_decision_screen,,
753879,response_R,-1,
754054,response_R,0,
754247,response_R,1,
754406,response_R,2,
754566,response_R,3,
754758,response_R,4,
755142,response_Lock,4,
756875,program_stimulus_image,images/NI/3061_Mutilation.gif,
756924,program_stimulus_sound,,sounds/IADSNA/276_FemScream2.mp3
762924,program_points_screen,,
762969,program_stimulus_sound,,sounds/reward/bigReward.mp3
764970,program_fixation_screen,,
765971,trial,59,
765971,program_decision_screen,,
766742,response_R,-3,
766950,response_R,-2,
