PtsOther,Negative Image Side (1=L and 0=R),StartPos (starting position of the avatar),EndPos (end position of the avatar),InitialRT (reaction time for initial response),TotalRT (total time until they lock in response will be 4 seconds if they do not lock in),OutcomePts (Pts received),OutcomeImage (image shown),Piname (name of positive image file),Niname (name of negative image file),Paname (name of positive audio file),Naname (name of negative audio file),Oscillations (# made opposite movement from last)
0,L,-2,-4,1395,2084,2,images/PI/8420_Tubing.gif,images/PI/8420_Tubing.gif,images/PI/8420_Tubing.gif,sounds/SimplyTheBest/river.mp3,sounds/SimplyTheBest/river.mp3,1
0,R,-2,4,1057,2320,4,images/NI/3061_Mutilation.gif,images/PI/2030_Woman.gif,images/NI/3061_Mutilation.gif,sounds/Freesound/FemaleLaughter1.mp3,sounds/IADSNA/276_FemScream2.mp3,1
0,R,-4,4,771,2627,6,images/NI/9050_PlaneCrash.gif,images/PI/8340_Plane.gif,images/NI/9050_PlaneCrash.gif,sounds/Freesound/Propeller.mp3,sounds/IADSNA/501_PlaneCrash.mp3,1
0,L,0,-4,1157,2117,2,images/NI/2141_GrievingFem.gif,images/PI/2620_Woman.gif,images/NI/2141_GrievingFem.gif,sounds/IADSPA/816_Guitar.mp3,sounds/AudioMicro/WomanCrying.mp3,1
0,R,0,-4,1186,2225,0,images/PI/2150_Baby.gif,images/PI/2150_Baby.gif,images/NI/9410_Soldier.gif,sounds/IADSPA/111_MusicBox.mp3,sounds/Freesound/panic&pain.mp3,1
0,L,-4,4,540,2972,2,images/PI/8116_Football.gif,images/PI/8116_Football.gif,images/PI/8116_Football.gif,sounds/IADSPA/362_Football.mp3,sounds/IADSPA/362_Football.mp3,1
6,L,-4,-4,0,1205,0,images/PI/7140_Bus.gif,images/PI/7140_Bus.gif,images/NI/9911_CarAccident.gif,sounds/IADSPA/820_FunkMusic.mp3,sounds/IADSNA/424_CarWreck.mp3,0
0,R,2,2,0,935,4,images/NI/9420_Soldier.gif,images/PI/8080_Sailing.gif,images/NI/9420_Soldier.gif,sounds/SimplyTheBest/oceanwaves.mp3,sounds/IADSNA/706_War.mp3,0
0,R,-2,1,1250,2018,2,images/NI/9433_DeadMan.gif,images/PI/8461_HappyTeens.gif,images/NI/9433_DeadMan.gif,sounds/IADSPA/226_Laughing.mp3,sounds/Freesound/Fall_Screaming.mp3,1
0,L,-3,-4,1150,1470,4,images/NI/9520_Kids.gif,images/PI/2216_Children.gif,images/NI/9520_Kids.gif,sounds/IADSPA/112_KidsinPark.mp3,sounds/IADSNA/712_Buzzer.mp3,1
0,L,2,-4,1020,2635,2,images/NI/3530_Attack.gif,images/PI/2370_ThreeMen.gif,images/NI/3530_Attack.gif,sounds/IADSPA/221_MaleLaugh.mp3,sounds/IADSNA/286_Victim.mp3,1
0,R,0,4,586,1546,6,images/NI/9910_AutoAccident.gif,images/PI/2389_Teens.gif,images/NI/9910_AutoAccident.gif,sounds/IADSPA/815_RocknRoll.mp3,sounds/IADSNA/424_Carwreck.mp3,1
0,L,3,4,714,1210,2,images/PI/2487_Musician.gif,images/PI/2487_Musician.gif,images/PI/2487_Musician.gif,sounds/Freesound/nylon2.mp3,sounds/Freesound/nylon2.mp3,1
0,L,2,4,1199,1711,0,images/PI/2560_Picnic.gif,images/PI/2560_Picnic.gif,images/NI/3064_Mutilation.gif,sounds/IADSPA/230_Giggling.mp3,sounds/IADSNA/276_FemScream2.mp3,1
0,L,3,3,0,921,6,images/NI/3230_DyingMan.gif,images/PI/2510_ElderlyWoman.gif,images/NI/3230_DyingMan.gif,sounds/IADSPA/151_Cardinal.mp3,sounds/Freesound/EKG.mp3,0
4,R,0,0,0,392,0,images/PI/2020_Adult.gif,images/PI/2020_Adult.gif,images/NI/3060_Mutilation.gif,sounds/Freesound/Manlaughing_hard.mp3,sounds/Freesound/allinpain.mp3,0
0,R,1,4,701,1980,2,images/NI/3130_Mutilation.gif,images/PI/8130_PoleVaulter.gif,images/NI/3130_Mutilation.gif,sounds/IADSPA/352_SportsCrowd.mp3,sounds/Freesound/mandying.mp3,1
2,L,2,-4,966,3190,0,images/PI/2310_Mother.gif,images/PI/2310_Mother.gif,images/PI/2310_Mother.gif,sounds/Freesound/eio.mp3,sounds/Freesound/eio.mp3,1
